filename,eval_env,evaluator_type,args,start_time,end_time,elapsed_minutes,total_queries,errors,total_tags,total_has_prediction,total_regex,total_regex_match,prediction_rate,match_rate
deepseek_deepseek-chat-v3-0324_Sculpt-AI_GIMBench-regex-match_260121-195128.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name deepseek/deepseek-chat-v3-0324 --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.4', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '29c4c1ffba77cf4ba40110ff9821021cf204406a'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'deepseek/deepseek-chat-v3-0324', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-21T19:51:28.914875,2026-01-21T21:57:22.268931,125.88923426666666,100,7,838,760,268,194,0.9069212410501193,0.7238805970149254
google_gemini-3-flash-preview_Sculpt-AI_GIMBench-regex-match_260121-164158.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name google/gemini-3-flash-preview --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.4', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '29c4c1ffba77cf4ba40110ff9821021cf204406a'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'google/gemini-3-flash-preview', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-21T16:41:58.889202,2026-01-21T16:47:30.597488,5.528471433333333,100,7,838,797,268,238,0.951073985680191,0.8880597014925373
moonshotai_kimi-k2-thinking_Sculpt-AI_GIMBench-regex-match_260121-164739.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name moonshotai/kimi-k2-thinking --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.4', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '29c4c1ffba77cf4ba40110ff9821021cf204406a'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'moonshotai/kimi-k2-thinking', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-21T16:47:39.567674,2026-01-21T19:51:19.868392,183.67167863333333,100,6,838,758,268,122,0.9045346062052506,0.4552238805970149
openai_gpt-5.2_Sculpt-AI_GIMBench-regex-match_260121-161332.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name openai/gpt-5.2 --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.4', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '29c4c1ffba77cf4ba40110ff9821021cf204406a'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'openai/gpt-5.2', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-21T16:13:32.280377,2026-01-21T16:41:49.442004,28.286027116666666,100,0,838,805,268,224,0.9606205250596659,0.835820895522388
Qwen_Qwen3-1.7B_Sculpt-AI_GIMBench-regex-match_260122-013913.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Qwen/Qwen3-1.7B --use_gim_prompt --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': True, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Qwen/Qwen3-1.7B', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T01:39:13.063172,2026-01-22T01:48:18.572780,9.0918268,100,7,838,690,268,101,0.8233890214797136,0.376865671641791
Qwen_Qwen3-4B-Instruct-2507_Sculpt-AI_GIMBench-regex-match_260122-012733.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Qwen/Qwen3-4B-Instruct-2507 --use_gim_prompt --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': True, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Qwen/Qwen3-4B-Instruct-2507', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T01:27:33.336805,2026-01-22T01:39:03.398738,11.501032216666665,100,7,838,721,268,130,0.860381861575179,0.48507462686567165
Sculpt-AI_09251-gim-sft-tmp_Sculpt-AI_GIMBench-regex-match_260122-014827.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/09251-gim-sft-tmp --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/09251-gim-sft-tmp', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T01:48:27.654957,2026-01-22T02:04:41.743730,16.234812883333333,100,6,838,764,268,105,0.9116945107398569,0.3917910447761194
Sculpt-AI_2510231-mixture-high_Sculpt-AI_GIMBench-regex-match_260122-020451.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2510231-mixture-high --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2510231-mixture-high', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T02:04:51.267976,2026-01-22T02:17:30.536516,12.654475666666666,100,14,838,582,268,81,0.6945107398568019,0.30223880597014924
Sculpt-AI_2510232-mixture-mid_Sculpt-AI_GIMBench-regex-match_260122-021740.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2510232-mixture-mid --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2510232-mixture-mid', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T02:17:40.535984,2026-01-22T02:28:49.910684,11.156245,100,12,838,665,268,97,0.7935560859188544,0.3619402985074627
Sculpt-AI_2601081-mix1_Sculpt-AI_GIMBench-regex-match_260122-022859.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2601081-mix1 --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.0.post1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '4167eb9f822c06bf7769cb5fe982a290be4445af'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2601081-mix1', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'unsloth/Qwen3-4B-Instruct-2507', 'ref_model_name': 'gpt2', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-22T02:28:59.004187,2026-01-22T02:40:26.361067,11.455948000000001,100,9,838,672,268,99,0.801909307875895,0.3694029850746269
