filename,eval_env,evaluator_type,args,start_time,end_time,elapsed_minutes,total_queries,errors,total_tags,valid_tags,total_has_prediction,total_regex,valid_regex,total_regex_match,prediction_rate,match_rate
openai_gpt-5.2_Sculpt-AI_GIMBench-regex-match_260124-035351.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name openai/gpt-5.2 --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'openai/gpt-5.2', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T03:53:51.115161,2026-01-24T04:25:37.316906,31.770029083333334,100,0,838,838,805,268,268,223,0.9606205250596659,0.832089552238806
google_gemini-3-flash-preview_Sculpt-AI_GIMBench-regex-match_260124-042545.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name google/gemini-3-flash-preview --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'google/gemini-3-flash-preview', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T04:25:45.512093,2026-01-24T04:29:27.834838,3.7053790833333333,100,0,838,838,838,268,268,258,1.0,0.9626865671641791
moonshotai_kimi-k2-thinking_Sculpt-AI_GIMBench-regex-match_260124-042935.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name moonshotai/kimi-k2-thinking --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'moonshotai/kimi-k2-thinking', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T04:29:35.933206,2026-01-24T05:07:01.307304,37.42290163333333,100,16,838,722,704,268,230,109,0.9750692520775623,0.47391304347826085
deepseek_deepseek-chat-v3-0324_Sculpt-AI_GIMBench-regex-match_260124-050709.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type openai --model_name deepseek/deepseek-chat-v3-0324 --api_key **** --base_url https://openrouter.ai/api/v1 --use_gim_prompt --output_type json --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'json', 'model_type': 'openai', 'model_name': 'deepseek/deepseek-chat-v3-0324', 'api_key': '****', 'base_url': 'https://openrouter.ai/api/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T05:07:09.655129,2026-01-24T06:43:20.461869,96.18011233333333,100,10,838,755,743,268,232,164,0.9841059602649007,0.7068965517241379
Qwen_Qwen3-4B-Instruct-2507_Sculpt-AI_GIMBench-regex-match_260124-064329.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Qwen/Qwen3-4B-Instruct-2507 --use_gim_prompt --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Qwen/Qwen3-4B-Instruct-2507', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T06:43:29.201301,2026-01-24T07:16:53.882281,33.411349666666666,100,6,838,763,657,268,248,184,0.8610747051114024,0.7419354838709677
Qwen_Qwen3-1.7B_Sculpt-AI_GIMBench-regex-match_260124-071702.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Qwen/Qwen3-1.7B --use_gim_prompt --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': True, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Qwen/Qwen3-1.7B', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T07:17:02.941051,2026-01-24T07:32:15.013259,15.201203466666668,100,3,838,822,750,268,257,188,0.9124087591240876,0.7315175097276264
Sculpt-AI_09251-gim-sft-tmp_Sculpt-AI_GIMBench-regex-match_260124-073224.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/09251-gim-sft-tmp --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/09251-gim-sft-tmp', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T07:32:24.227311,2026-01-24T07:54:27.150636,22.048722083333335,100,5,838,784,751,268,250,206,0.9579081632653061,0.824
Sculpt-AI_2510231-mixture-high_Sculpt-AI_GIMBench-regex-match_260124-075436.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2510231-mixture-high --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2510231-mixture-high', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T07:54:36.211593,2026-01-24T08:14:14.692075,19.641341366666666,100,13,838,714,628,268,236,169,0.8795518207282913,0.7161016949152542
Sculpt-AI_2510232-mixture-mid_Sculpt-AI_GIMBench-regex-match_260124-081423.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2510232-mixture-mid --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2510232-mixture-mid', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T08:14:23.852281,2026-01-24T08:32:04.220361,17.672801333333332,100,6,838,790,723,268,257,203,0.9151898734177215,0.7898832684824902
Sculpt-AI_2601081-mix1_Sculpt-AI_GIMBench-regex-match_260124-083214.json,"{'exec_command': '/root/autodl-tmp/GIMBench/.venv/bin/python /root/autodl-tmp/GIMBench/src/gimbench/match/gim_regex.py --model_type vllm-offline --model_name Sculpt-AI/2601081-mix1 --output_type cfg --ref_model_device cpu --first_n 100', 'gimbench_version': '0.2.5', 'gimbench_file': '/root/autodl-tmp/GIMBench/src/gimbench/__init__.py', 'gimkit_version': '0.1.1', 'gimkit_file': '/root/autodl-tmp/GIMBench/.venv/lib/python3.13/site-packages/gimkit/__init__.py', 'git_repo': '/root/autodl-tmp/GIMBench', 'git_branch': 'feat/eval-results', 'git_commit_id': '7ac10379e52cb0d923675819ddebc1f3478eb93c'}",match,"{'use_gim_prompt': False, 'output_type': 'cfg', 'model_type': 'vllm-offline', 'model_name': 'Sculpt-AI/2601081-mix1', 'api_key': '', 'base_url': 'http://localhost:8000/v1', 'max_model_len': 8192, 'temperature': 0.0, 'presence_penalty': 1.0, 'max_tokens': 8192, 'seed': 16, 'first_n': 100, 'num_proc': 1, 'output_dir': 'results', 'counter_tokenizer': 'Qwen/Qwen3-4B-Instruct-2507', 'ref_model_name': 'google/gemma-3-270m', 'ref_model_device': 'cpu', 'base_model_vocab_size': 0, 'ctp_alpha': 0.2, 'no_gimkit': False, 'reason_budget': 0, 'auto_budget': False, 'dataset': {'path': 'Sculpt-AI/GIMBench-regex-match', 'split': 'test'}}",2026-01-24T08:32:14.676631,2026-01-24T08:48:23.013035,16.138940066666667,100,10,838,759,674,268,244,174,0.8880105401844532,0.7131147540983607
